Name,OTSSP167,HTH01091
MKK1,3,62
MKK2,10,75
MKK6,80,99
ERK1,88,119
ERK2,90,93
ERK5,4,70
JNK1,10,97
JNK2,16,100
JNK3,13,101
p38 alpha,10,84
p38 beta,6,85
p38 gamma,12,86
p38 delta,4,89
ERK8,1,24
RSK1,3,48
RSK2,1,62
PDK1,4,102
PKB alpha,28,101
PKB beta,24,88
SGK1,12,72
S6K1,2,81
PKA,12,112
ROCK 2,49,82
PRK2,2,77
PKC alpha,7,79
PKC gamma,1,71
PKC zeta,19,96
PKD1,6,79
STK33,10,26
MSK1,5,65
MNK1,28,109
MNK2,13,103
MAPKAP-K2,14,98
MAPKAP-K3,94,89
PRAK,16,78
CAMKK beta,2,91
CAMK1,15,93
SmMLCK,6,8
PHK,3,74
DAPK1,1,15
CHK1,11,86
CHK2,1,34
GSK3 beta,0,86
CDK2-Cyclin A,2,67
CDK9-Cyclin T1,4,92
PLK1,3,95
Aurora A,10,98
Aurora B,14,35
TLK1,58,95
LKB1,83,100
AMPK,2,
AMPK (hum),1,34
MARK1,31,97
MARK2,23,94
MARK3,13,94
MARK4,14,95
BRSK1,2,85
BRSK2,2,125
MELK,6,13
NUAK1,0,66
SIK2,2,79
SIK3,4,83
TSSK1,1,68
CK1 gamma 2,10,80
CK1 delta,6,36
CK2,1,23
TTBK1,82,103
TTBK2,91,86
DYRK1A,1,23
DYRK2,1,18
DYRK3,1,5
NEK2a,59,100
NEK6,92,95
IKK beta,41,104
IKK epsilon,2,92
TBK1,6,88
PIM1,10,1
PIM2,0,2
PIM3,1,1
SRPK1,10,94
EF2K,114,85
EIF2AK3,7,114
HIPK1,0,24
HIPK2,2,13
HIPK3,0,25
CLK2,0,11
PAK2,74,88
PAK4,9,79
PAK5,19,73
PAK6,29,89
MST2,7,45
MST3,5,93
MST4,5,96
GCK,0,16
MAP4K3,1,55
MAP4K5,3,32
MINK1,2,38
MEKK1,96,111
MLK1,1,35
MLK3,2,54
TESK1,51,95
TAO1,3,18
ASK1,7,90
TAK1,1,22
IRAK1,3,86
IRAK4,7,85
RIPK2,4,3
OSR1,45,93
TTK,3,53
MPSK1,5,107
WNK1,111,101
ULK1,32,93
ULK2,4,105
TGFBR1,16,102
Src,5,54
Lck,0,35
CSK,9,76
YES1,18,32
ABL,1,70
BTK,7,45
JAK2,3,39
SYK,7,112
ZAP70,78,98
TIE2,3,71
BRK,8,96
EPH-A2,7,66
EPH-A4,1,63
EPH-B1,11,122
EPH-B2,1,70
EPH-B3,18,99
EPH-B4,2,104
FGF-R1,4,82
HER4,4,84
IGF-1R,4,92
IR,2,100
IRR,6,79
TrkA,1,53
DDR2,0,44
VEGFR1,1,43
PDGFRA,20,35
PINK,89,93
